Section,Type,Original Text (EN),Translation/Replacement,Status,Notes
=== SITE CONFIG (site.ts) ===,,,,,
Global,Title,DecoSupplier - PVC Decorative Film LVT Flooring & Wall Panel Manufacturer,,needs_review,SEO title for all pages
Global,Description,"Factory-direct manufacturer of PVC decorative films, LVT flooring, SPC wall panels, and self-adhesive surface materials. ISO-certified, OEM/ODM, 1000+ patterns in stock. Export to 50+ countries.",,needs_review,SEO description for all pages
Global,Author,DecoSupplier,,needs_review,
Navigation,Home,,,confirmed,
Navigation,Products,,,confirmed,
Navigation,About,,,confirmed,
Navigation,Service,,,confirmed,
Navigation,Product_detail,,,confirmed,
Navigation,Blog,,,confirmed,
Navigation,Blog detail,,,confirmed,
Navigation,Contact,,,confirmed,
=== BASE LAYOUT (BaseLayout.astro) ===,,,,,
SEO,OG Site Name,DecoSupplier,,confirmed,
SEO,OG Locale,en_US,,confirmed,
SEO,Robots,index follow max-image-preview:large,,confirmed,
StructuredData,Organization Name,DecoSupplier,,confirmed,
StructuredData,ContactType,sales,,confirmed,
StructuredData,AvailableLanguage,"English, Chinese",,confirmed,
StructuredData,Telephone,+86-153-0581-9072,,confirmed,
StructuredData,Email,info@decosupplier.com,,confirmed,
StructuredData,StreetAddress,"5th Floor, Huarui Huijin Center, Beigan Sub-district, Xiaoshan District, Hangzhou City, Zhejiang Province, P.R.China",,confirmed,
StructuredData,PostalCode,311200,,needs_review,
=== HEADER (Header.astro) ===,,,,,
Header,Logo,Deco Supplier,,needs_review,Logo text in nav bar
Header,Nav_Products,All Products,,confirmed,
Header,Nav_Products,PVC Decorative Film,,confirmed,
Header,Nav_Products,LVT Flooring,,confirmed,
Header,Nav_Products,SPC Wall Panels,,confirmed,
Header,Nav_Products,Interior Refinishing Film,,confirmed,
Header,Nav_Products,Self-Adhesive Foam Wall Panels,,confirmed,
Header,Nav_Products,3D PVC Wall Panels,,confirmed,
Header,Nav_Products,Peel & Stick Wallpapers,,confirmed,
Header,Nav_Overlay,View All,,confirmed,Hover overlay on product cards
Header,CTA,Request Quote,,confirmed,Top right CTA button
=== FOOTER (Footer.astro) ===,,,,,
Footer,Logo,Deco Supplier,,needs_review,
Footer,Description,"{SITE.description} - same as global",,needs_review,
Footer,Section_QuickLinks,Quick Links,,confirmed,
Footer,Section_Products,Products,,confirmed,
Footer,Section_GetStarted,Get Started,,confirmed,
Footer,Link,Request a Quote,,confirmed,
Footer,Link,About Our Factory,,confirmed,
Footer,Link,Blog & Insights,,confirmed,
Footer,CTA,Get Started,,confirmed,
Footer,BottomBar,{year} DecoSupplier. All rights reserved.,,confirmed,
Footer,BottomBar,Privacy Policy,,confirmed,
Footer,BottomBar,Terms of Service,,confirmed,
Footer,BottomBar,Cookie Policy,,confirmed,
=== HOME PAGE - PremiumHero ===,,,,,
HomeHero,Capsule,Factory Manufacturing & Surface Materials,,needs_review,
HomeHero,Title_Line1,Manufacturing decorative surfaces for,,needs_review,
HomeHero,Title_Line2,real-world applications,,needs_review,
HomeHero,Subtitle,"From pattern development and printing to coating, embossing, and finishing — we manufacture PVC decorative films, LVT flooring, wall panels, and related surface materials for global projects.",,needs_review,
HomeHero,Button_Primary,Request Product Info,,needs_review,
HomeHero,Button_Secondary,View Product Range,,needs_review,
HomeHero,Stat_1,15+ / Years Experience,,needs_review,
HomeHero,Stat_2,1000+ / Patterns Available,,needs_review,
HomeHero,Stat_3,99.9% / Quality Rate,,needs_review,
HomeHero,Stat_4,200+ / Countries Served,,needs_review,
=== HOME PAGE - Product_all ===,,,,,
HomeProducts,Capsule,Our Products,,confirmed,
HomeProducts,Title,"Premium Surface Solutions",,needs_review,
HomeProducts,Subtitle,"DecoSupplier offers a comprehensive range of decorative surface materials — from resilient flooring and wall panels to self-adhesive films and wallpapers — engineered for quality, design, and durability.",,needs_review,
HomeProducts,CTA,Explore All Products,,needs_review,
=== HOME PAGE - Trust_data ===,,,,,
HomeTrust,Capsule,Production Strength,,needs_review,
HomeTrust,Title,Capacity and Consistency,,needs_review,
HomeTrust,Subtitle,"Our factory combines technical experience, production capacity, and quality control to support dependable manufacturing for decorative surface materials.",,needs_review,
HomeTrust,Item1_Title,15+ Years,,needs_review,
HomeTrust,Item1_Desc,Manufacturing and export experience in surface decoration materials,,needs_review,
HomeTrust,Item1_Feature1,Continuous technical accumulation,,needs_review,
HomeTrust,Item1_Feature2,Global market insight,,needs_review,
HomeTrust,Item1_Feature3,Mature supply chain,,needs_review,
HomeTrust,Item2_Title,1000+ Patterns,,needs_review,
HomeTrust,Item2_Desc,"In-stock trendy textures – wood, marble, microcement, and more",,needs_review,
HomeTrust,Item2_Feature1,Wood / stone / cement finishes,,needs_review,
HomeTrust,Item2_Feature2,Yearly trend updates,,needs_review,
HomeTrust,Item2_Feature3,Custom design support,,needs_review,
HomeTrust,Item3_Title,100% Factory-Direct,,needs_review,
HomeTrust,Item3_Desc,No middlemen – full cost and quality control from source,,needs_review,
HomeTrust,Item3_Feature1,Vertically integrated production,,needs_review,
HomeTrust,Item3_Feature2,No intermediary markup,,needs_review,
HomeTrust,Item3_Feature3,Full traceability,,needs_review,
HomeTrust,Item4_Title,"50,000+ m²",,needs_review,
HomeTrust,Item4_Desc,"Modern production base with high-precision printing and automated lines",,needs_review,
HomeTrust,Item4_Feature1,Wide-width calendering lines,,needs_review,
HomeTrust,Item4_Feature2,Smart slitting & packaging,,needs_review,
HomeTrust,Item4_Feature3,Millions of square metres annual capacity,,needs_review,
HomeTrust,Item5_Title,200+ Countries,,needs_review,
HomeTrust,Item5_Desc,"Exporting to over 200 countries, serving global brands and contractors",,needs_review,
HomeTrust,Item5_Feature1,Europe / Americas / Southeast Asia / Middle East,,needs_review,
HomeTrust,Item5_Feature2,International certifications,,needs_review,
HomeTrust,Item5_Feature3,Localised service support,,needs_review,
HomeTrust,Item6_Title,24/7 Support,,needs_review,
HomeTrust,Item6_Desc,"Dedicated technical team – rapid response, custom solutions, and after-sales care",,needs_review,
HomeTrust,Item6_Feature1,Quick inquiry response,,needs_review,
HomeTrust,Item6_Feature2,Free sample delivery,,needs_review,
HomeTrust,Item6_Feature3,Technical guidance after sales,,needs_review,
HomeTrust,CTA,View Manufacturing Capabilities,,needs_review,
=== HOME PAGE - Core_Competencies ===,,,,,
HomeCore,Capsule,Manufacturing Capability,,needs_review,
HomeCore,Title,Built for Production and Consistency,,needs_review,
HomeCore,Subtitle,"Our factory combines pattern development, printing, coating, embossing, and finishing capacity to support reliable production for decorative films, flooring, and wall panels.",,needs_review,
HomeCore,Feature1_Title,Direct Manufacturing Support,,needs_review,
HomeCore,Feature1_Desc,"From sample development to bulk production, our team works directly with your project requirements instead of relying on layers of intermediaries.",,needs_review,
HomeCore,Feature2_Title,Pattern Development & Custom Production,,needs_review,
HomeCore,Feature2_Desc,"We support custom patterns, color matching, surface effects, and product development for PVC films and related decorative materials.",,needs_review,
HomeCore,Feature3_Title,Process Control From Raw Material to Finished Product,,needs_review,
HomeCore,Feature3_Desc,"Inspection and control are built into each stage of production, from incoming material to finished rolls and shipment preparation.",,needs_review,
=== HOME PAGE - Factory_Capabilities ===,,,,,
HomeFactory,Capsule,Factory Capabilities,,needs_review,
HomeFactory,Title,Manufacturing From Print to Finish,,needs_review,
HomeFactory,Subtitle,"Our production flow covers material preparation, printing, coating, embossing, finishing, and shipment preparation for decorative films and related surface products.",,needs_review,
HomeFactory,Step1_Title,Raw Material Sourcing,,needs_review,
HomeFactory,Step1_Desc,"We source premium PVC resins, plasticizers, and stabilizers from certified global suppliers. All raw materials undergo rigorous incoming inspection to ensure consistency and compliance with international standards.",,needs_review,
HomeFactory,Step2_Title,Precision Manufacturing,,needs_review,
HomeFactory,Step2_Desc,"Our advanced production lines feature high-definition rotogravure printing, multi-layer co-extrusion, embossing, and adhesive coating. Fully automated processes ensure consistent quality across every batch.",,needs_review,
HomeFactory,Step3_Title,Quality Control & Testing,,needs_review,
HomeFactory,Step3_Desc,"Every roll undergoes three-tier inspection: raw material testing, in-line production monitoring, and pre-shipment finished goods inspection. We test for scratch resistance, colorfastness, waterproof bonding, and VOC/aldehyde emissions.",,needs_review,
HomeFactory,Step4_Title,Global Logistics & Delivery,,needs_review,
HomeFactory,Step4_Desc,"Our efficient supply chain and flexible production scheduling ensure stable lead times. We coordinate container loading, customs documentation, and international shipping to deliver products to over 200 countries worldwide.",,needs_review,
HomeFactory,Step_LearnMore,Learn more,,needs_review,
HomeFactory,Benefit1_Title,Stable Production Capacity,,needs_review,
HomeFactory,Benefit1_Desc,Consistent manufacturing capability for repeat orders and larger project requirements,,needs_review,
HomeFactory,Benefit2_Title,Reliable Delivery Coordination,,needs_review,
HomeFactory,Benefit2_Desc,Production scheduling and shipment support are coordinated to meet delivery needs across global markets,,needs_review,
HomeFactory,Benefit3_Title,Quality Built Into Each Stage,,needs_review,
HomeFactory,Benefit3_Desc,Inspection and control are applied throughout production to support consistent output,,needs_review,
=== HOME PAGE - PremiumCTA ===,,,,,
HomeCTA,Capsule,Production Inquiry,,needs_review,
HomeCTA,Title,Need Samples or Custom Production?,,needs_review,
HomeCTA,Subtitle,"Contact our production and sales team for samples, custom specifications, and factory-direct quotations tailored to your project.",,needs_review,
HomeCTA,Button_Primary,Request Factory Quote,,needs_review,
HomeCTA,Button_Secondary,Learn About Our Factory,,needs_review,
HomeCTA,Stat_1,15+ / Years Experience,,needs_review,
HomeCTA,Stat_2,ISO 9001 / Certified,,needs_review,
HomeCTA,Stat_3,24/7 / Factory Support,,needs_review,
HomeCTA,Stat_4,200+ / Countries Served,,needs_review,
=== ABOUT PAGE (about.astro) ===,,,,,
About,SEO_Title,"About DecoSupplier - Factory-Grounded Manufacturer of PVC Films, LVT & SPC",,needs_review,
About,Hero_Title,"About DecoSupplier",,needs_review,
About,Hero_Desc,"A manufacturing base in China specializing in PVC decorative films, LVT flooring, SPC wall panels, and related surface materials.",,needs_review,
About,Hero_SubDesc,"We manufacture from printing and coating to finishing and packing, with a focus on stable quality, practical customization, and dependable production support.",,needs_review,
About,Hero_CTA,View Our Products,,needs_review,
About,TrustData_Capsule,The Numbers Behind Our Confidence,,needs_review,
About,TrustData_Title,"Built on Trust & Track Record",,needs_review,
About,TrustData_Subtitle,"Decades of experience, thousands of patterns, and massive capacity — these are the numbers that back every roll we ship.",,needs_review,
About,TrustData_Stat1,15+ / Years of Manufacturing & Export,,needs_review,
